<msg_type>  <time>  <packet_type>  <seq>  <size>  <ack>
snd         2366.036       D       5752   50      1     
rcv         2378.061       A       1      0       5752  
snd         2378.124       D       5802   50      1     
rcv         2401.076       A       1      0       5802  
snd         2401.136       D       5852   50      1     
rcv         2412.691       A       1      0       5852  
snd         2424.031       D       5902   50      1     
rcv         2435.44        A       1      0       5902  
rcv         2446.384       A       1      0       5952  
snd         2464.1         D       5952   50      1     
snd         2469.322       D       6002   50      1     
drop        2469.322       D       6052   50      1     
rcv         2474.858       A       1      0       6002  
snd         2474.938       D       6052   50      1     
rcv         2475.02        A       1      0       6052  
snd         2475.091       D       6102   50      1     
rcv         2475.152       A       1      0       6102  
snd         2480.972       D       6152   50      1     
drop        2480.972       D       6202   50      1     
rcv         2486.398       A       1      0       6152  
snd         2504.178       D       6202   50      1     
rcv         2515.518       A       1      0       6202  
snd         2521.893       D       6252   50      1     
rcv         2539.459       A       1      0       6252  
rcv         2561.431       A       1      0       6302  
snd         2561.488       D       6302   50      1     
rcv         2571.651       A       1      0       6352  
snd         2577.821       D       6352   50      1     
rcv         2589.314       A       1      0       6402  
snd         2600.728       D       6402   50      1     
rcv         2612.278       A       1      0       6452  
snd         2623.74        D       6452   50      1     
rcv         2629.062       A       1      0       6502  
snd         2634.251       D       6502   50      1     
rcv         2651.318       A       1      0       6552  
snd         2673.515       D       6552   50      1     
rcv         2678.937       A       1      0       6602  
snd         2684.273       D       6602   50      1     
rcv         2696.398       A       1      0       6652  
snd         2701.698       D       6652   50      1     
rcv         2701.792       A       1      0       6702  
snd         2707.673       D       6702   50      1     
rcv         2723.637       A       1      0       6752  
snd         2740.644       D       6752   50      1     
rcv         2763.723       A       1      0       6802  
snd         2763.786       D       6802   50      1     
rcv         2780.044       A       1      0       6852  
snd         2797.52        D       6852   50      1     
drop        2797.52        D       6902   50      1     
rcv         2813.575       A       1      0       6902  
snd         2825.088       D       6902   50      1     
rcv         2842.45        A       1      0       6952  
snd         2869.929       D       6952   50      1     
drop        2869.929       D       7002   50      1     
snd         2875.447       D       7002   50      1     
snd         2875.523       D       7052   50      1     
rcv         2881.426       A       1      0       7002  
snd         2881.535       D       7102   50      1     
rcv         2881.615       A       1      0       7052  
snd         2881.772       D       7152   50      1     
drop        2881.772       D       7202   50      1     
rcv         2881.883       A       1      0       7102  
snd         2881.941       D       7202   50      1     
rcv         2888.149       A       1      0       7152  
snd         2893.561       D       7252   50      1     
rcv         2898.947       A       1      0       7202  
snd         2909.336       D       7302   50      1     
rcv         2920.709       A       1      0       7252  
snd         2932.131       D       7352   50      1     
rcv         2949.171       A       1      0       7302  
snd         2965.675       D       7402   50      1     
rcv         2971.052       A       1      0       7352  
snd         2992.949       D       7452   50      1     
rcv         3009.221       A       1      0       7402  
snd         3020.542       D       7502   50      1     
rcv         3030.883       A       1      0       7452  
snd         3048.086       D       7552   50      1     
rcv         3058.295       A       1      0       7502  
rcv         3098.575       A       1      0       7552  
snd         3104.105       D       7602   50      1     
drop        3104.105       D       7652   50      1     
drop        3104.105       D       7652   50      1     
